iter	Passed	Remaining
407	4833	7012
408	4844	6999
409	4855	6987
410	4867	6975
411	4878	6962
412	4888	6948
413	4899	6935
414	4911	6923
415	4921	6909
416	4934	6898
417	4945	6885
418	4956	6872
419	4968	6860
420	4980	6849
421	4989	6834
422	5000	6820
423	5010	6806
424	5020	6792
425	5032	6781
426	5042	6766
427	5053	6753
428	5065	6741
429	5074	6726
430	5085	6713
431	5095	6699
432	5107	6688
433	5118	6674
434	5130	6663
435	5142	6652
436	5156	6643
437	5167	6631
438	5180	6619
439	5191	6607
440	5202	6594
441	5214	6582
442	5226	6571
443	5237	6558
444	5248	6546
445	5260	6534
446	5271	6522
447	5282	6508
448	5292	6495
449	5305	6484
450	5317	6472
451	5329	6460
452	5339	6447
453	5350	6434
454	5363	6424
455	5375	6412
456	5386	6399
457	5399	6390
458	5416	6383
459	5429	6374
460	5442	6363
461	5452	6349
462	5465	6338
463	5476	6326
464	5490	6316
465	5502	6305
466	5513	6292
467	5528	6284
468	5539	6272
469	5551	6260
470	5564	6249
471	5575	6236
472	5588	6226
473	5602	6217
474	5612	6203
475	5623	6190
476	5636	6180
477	5648	6168
478	5658	6155
479	5670	6142
480	5683	6132
481	5694	6119
482	5705	6106
483	5715	6093
484	5726	6080
485	5738	6069
486	5750	6057
487	5761	6044
488	5772	6032
489	5786	6022
490	5799	6011
491	5809	5998
492	5820	5986
493	5831	5972
494	5843	5961
495	5856	5950
496	5866	5937
497	5878	5925
498	5889	5912
499	5902	5902
500	5914	5890
501	5925	5878
502	5936	5865
503	5947	5853
504	5958	5840
505	5969	5828
506	5982	5817
507	5993	5805
508	6004	5792
509	6015	5780
510	6027	5768
511	6039	5756
512	6050	5744
513	6059	5729
514	6071	5717
515	6084	5706
516	6095	5694
517	6106	5681
518	6117	5669
519	6127	5656
520	6138	5643
521	6151	5632
522	6161	5619
523	6172	5607
524	6184	5595
525	6194	5581
526	6206	5570
527	6220	5560
528	6233	5549
529	6242	5535
530	6253	5523
531	6263	5509
532	6276	5499
533	6289	5488
534	6301	5476
535	6312	5464
536	6322	5451
537	6333	5439
538	6344	5426
539	6355	5414
540	6365	5400
541	6376	5388
542	6388	5377
543	6400	5364
544	6409	5351
545	6420	5338
546	6431	5326
547	6443	5314
548	6455	5303
549	6468	5292
550	6478	5279
551	6489	5266
552	6500	5254
553	6510	5241
554	6520	5228
555	6533	5217
556	6542	5203
557	6552	5190
558	6564	5178
559	6575	5166
560	6585	5153
561	6596	5141
562	6606	5127
563	6618	5116
564	6630	5104
565	6642	5093
566	6652	5080
567	6664	5068
568	6673	5055
569	6685	5043
570	6696	5030
571	6709	5020
572	6720	5008
573	6731	4995
574	6741	4982
575	6751	4970
576	6762	4957
577	6773	4945
578	6785	4933
579	6795	4920
580	6805	4908
581	6817	4896
582	6828	4884
583	6841	4873
584	6852	4860
585	6862	4848
586	6876	4837
587	6886	4825
588	6897	4812
589	6909	4801
590	6919	4788
591	6930	4776
592	6941	4764
593	6951	4751
594	6964	4740
595	6976	4728
596	6987	4716
597	6997	4703
598	7009	4692
599	7020	4680
600	7032	4668
601	7043	4656
602	7055	4645
603	7065	4632
604	7076	4620
605	7087	4608
606	7098	4596
607	7109	4583
608	7121	4572
609	7132	4560
610	7144	4548
611	7156	4537
612	7167	4524
613	7176	4511
614	7189	4500
615	7200	4488
616	7212	4477
617	7223	4465
618	7237	4454
619	7247	4442
620	7261	4431
621	7273	4420
622	7285	4408
623	7295	4395
624	7306	4384
625	7318	4372
626	7328	4359
627	7339	4347
628	7349	4335
629	7362	4323
630	7374	4312
631	7386	4301
632	7398	4289
633	7410	4277
634	7421	4265
635	7432	4253
636	7443	4241
637	7454	4229
638	7466	4218
639	7478	4206
640	7487	4193
641	7499	4181
642	7510	4169
643	7520	4157
644	7532	4145
645	7543	4133
646	7553	4121
647	7564	4109
648	7575	4096
649	7586	4085
650	7597	4072
651	7608	4061
652	7619	4049
653	7633	4038
654	7645	4027
655	7657	4015
656	7667	4003
657	7680	3991
658	7691	3979
659	7700	3967
660	7712	3955
661	7721	3942
662	7735	3931
663	7747	3920
664	7758	3908
665	7770	3896
666	7783	3885
667	7794	3874
668	7805	3862
669	7815	3849
670	7826	3837
671	7836	3824
672	7849	3813
673	7861	3802
674	7873	3790
675	7884	3779
676	7896	3767
677	7909	3756
678	7921	3744
679	7933	3733
680	7945	3721
681	7958	3710
682	7972	3700
683	7983	3688
684	7995	3676
685	8008	3665
686	8019	3653
687	8030	3641
688	8041	3629
689	8054	3618
690	8065	3606
691	8078	3595
692	8089	3583
693	8102	3572
694	8114	3560
695	8126	3549
696	8136	3537
697	8149	3526
698	8162	3514
699	8174	3503
700	8185	3491
701	8196	3479
702	8206	3467
703	8219	3455
704	8230	3443
705	8242	3432
706	8254	3420
707	8264	3408
708	8277	3397
709	8290	3386
710	8302	3374
711	8313	3362
712	8328	3352
713	8340	3340
714	8354	3330
715	8366	3318
716	8377	3306
717	8392	3296
718	8403	3284
719	8413	3271
720	8424	3259
721	8438	3249
722	8449	3237
723	8462	3225
724	8473	3214
725	8483	3201
726	8496	3190
727	8506	3178
728	8516	3166
729	8527	3154
730	8538	3141
731	8549	3129
732	8560	3118
733	8570	3105
734	8583	3094
735	8596	3083
736	8608	3071
737	8619	3060
738	8631	3048
739	8643	3036
740	8654	3024
741	8665	3012
742	8675	3000
743	8687	2989
744	8700	2978
745	8712	2966
746	8724	2954
747	8737	2943
748	8753	2933
749	8784	2928
750	8811	2921
751	8829	2911
752	8847	2902
753	8868	2893
754	8885	2883
755	8899	2872
756	8913	2861
757	8930	2851
758	8946	2840
759	8955	2828
760	8968	2816
761	8981	2805
762	8992	2793
763	9001	2780
764	9014	2769
765	9025	2757
766	9036	2745
767	9049	2733
768	9063	2722
769	9073	2710
770	9083	2698
771	9099	2687
772	9116	2677
773	9130	2665
774	9146	2655
775	9160	2644
776	9175	2633
777	9186	2621
778	9198	2609
779	9213	2598
780	9225	2586
781	9237	2575
782	9251	2563
783	9263	2552
784	9276	2540
785	9285	2528
786	9298	2516
787	9311	2505
788	9329	2494
789	9342	2483
790	9356	2472
791	9369	2460
792	9381	2448
793	9394	2437
794	9405	2425
795	9416	2413
796	9430	2401
797	9441	2389
798	9451	2377
799	9464	2366
800	9477	2354
801	9490	2343
802	9503	2331
803	9515	2319
804	9527	2307
805	9539	2295
806	9549	2283
807	9561	2272
808	9574	2260
809	9587	2248
810	9600	2237
811	9611	2225
812	9623	2213
813	9633	2201
814	9645	2189
815	9658	2177
816	9669	2165
817	9682	2154
818	9695	2142
819	9705	2130
820	9715	2118
821	9726	2106
822	9737	2094
823	9749	2082
824	9760	2070
825	9773	2058
826	9787	2047
827	9798	2035
828	9810	2023
829	9823	2012
830	9837	2000
831	9851	1989
832	9863	1977
833	9877	1966
834	9891	1954
835	9904	1942
836	9920	1931
837	9933	1920
838	9953	1910
839	9971	1899
840	9986	1888
841	10000	1876
842	10013	1864
843	10027	1853
844	10039	1841
845	10050	1829
846	10064	1818
847	10075	1806
848	10087	1794
849	10098	1782
850	10111	1770
851	10125	1758
852	10138	1747
853	10149	1735
854	10160	1723
855	10171	1711
856	10184	1699
857	10198	1687
858	10210	1675
859	10222	1664
860	10235	1652
861	10247	1640
862	10259	1628
863	10270	1616
864	10282	1604
865	10293	1592
866	10305	1580
867	10315	1568
868	10328	1557
869	10339	1545
870	10351	1533
871	10364	1521
872	10375	1509
873	10386	1497
874	10398	1485
875	10409	1473
876	10420	1461
877	10433	1449
878	10444	1437
879	10456	1425
880	10466	1413
881	10478	1401
882	10488	1389
883	10499	1377
884	10512	1365
885	10525	1354
886	10538	1342
887	10549	1330
888	10559	1318
889	10571	1306
890	10585	1294
891	10597	1283
892	10609	1271
893	10622	1259
894	10632	1247
895	10644	1235
896	10657	1223
897	10668	1211
898	10681	1199
899	10693	1188
900	10704	1176
901	10714	1164
902	10724	1152
903	10736	1140
904	10748	1128
905	10758	1116
906	10769	1104
907	10780	1092
908	10792	1080
909	10806	1068
910	10818	1056
911	10830	1045
912	10841	1033
913	10851	1021
914	10862	1009
915	10875	997
916	10888	985
917	10900	973
918	10914	961
919	10925	950
920	10936	938
921	10946	926
922	10957	914
923	10969	902
924	10980	890
925	10992	878
926	11005	866
927	11016	854
928	11026	842
929	11037	830
930	11049	818
931	11059	806
932	11071	795
933	11083	783
934	11095	771
935	11107	759
936	11118	747
937	11132	735
938	11146	724
939	11157	712
940	11168	700
941	11180	688
942	11193	676
943	11205	664
944	11216	652
945	11226	640
946	11238	628
947	11248	617
948	11258	605
949	11272	593
950	11284	581
951	11295	569
952	11306	557
953	11317	545
954	11329	533
955	11341	521
956	11352	510
957	11363	498
958	11374	486
959	11384	474
960	11396	462
961	11407	450
962	11419	438
963	11431	426
964	11442	415
965	11454	403
966	11465	391
967	11478	379
968	11490	367
969	11504	355
970	11518	343
971	11531	332
972	11543	320
973	11556	308
974	11570	296
975	11582	284
976	11594	272
977	11605	261
978	11617	249
979	11630	237
980	11643	225
981	11655	213
982	11665	201
983	11676	189
984	11686	177
985	11701	166
986	11713	154
987	11726	142
988	11740	130
989	11752	118
990	11765	106
991	11778	94
992	11790	83
993	11803	71
994	11814	59
995	11827	47
996	11841	35
997	11854	23
998	11867	11
999	11879	0
