iter	RMSE
0	0.02419419157
1	0.02395531973
2	0.02373312079
3	0.02351664311
4	0.0233164389
5	0.02313002332
6	0.02294883927
7	0.02278672018
8	0.02263023209
9	0.02248468657
10	0.02233902044
11	0.02220275136
12	0.02207076536
13	0.02194792721
14	0.02182246365
15	0.02171019514
16	0.02160362314
17	0.02149249886
18	0.02139405467
19	0.02129930254
20	0.02121055151
21	0.02112186598
22	0.02103060332
23	0.0209465764
24	0.02086530226
25	0.02078891292
26	0.02070378443
27	0.02063463744
28	0.02056697625
29	0.02049249459
30	0.02042358414
31	0.02035955455
32	0.02028821227
33	0.02022769385
34	0.02016677667
35	0.02010312389
36	0.02004304368
37	0.01998993532
38	0.01993869064
39	0.01987996331
40	0.01982260765
41	0.0197714585
42	0.01972425609
43	0.01967538885
44	0.01961562014
45	0.0195650045
46	0.01952127495
47	0.01945678251
48	0.01941276749
49	0.01936231255
50	0.01931197634
51	0.01925384281
52	0.01921376448
53	0.01916960331
54	0.01912922359
55	0.01908023339
56	0.01904193108
57	0.01899853497
58	0.01895931774
59	0.01891693911
60	0.018873035
61	0.01883909777
62	0.01880003348
63	0.01876151672
64	0.01872329067
65	0.01868119639
66	0.01864695555
67	0.01861094983
68	0.01858148296
69	0.01854701874
70	0.01851467689
71	0.01846861931
72	0.01843446474
73	0.01840638906
74	0.01836567007
75	0.01832475986
76	0.0182939773
77	0.01826251727
78	0.01823271816
79	0.01820244567
80	0.01817323938
81	0.01813642801
82	0.01810381992
83	0.01807539781
84	0.01805083111
85	0.01802561534
86	0.01799871526
87	0.01796542141
88	0.01793909122
89	0.01790824016
90	0.01788157577
91	0.01785700658
92	0.01782854456
93	0.01780532218
94	0.01778111061
95	0.01775777084
96	0.01773659338
97	0.01771467529
98	0.01769394513
99	0.01767512898
100	0.01765078936
101	0.01762892395
102	0.01760903941
103	0.01758378884
104	0.01756018135
105	0.0175361714
106	0.01750939619
107	0.01748402822
108	0.01746458193
109	0.01743910268
110	0.01741542208
111	0.01739143204
112	0.01737154104
113	0.01735061276
114	0.0173289643
115	0.0173038554
116	0.01728559816
117	0.01726865781
118	0.01724803692
119	0.0172314977
120	0.01721157857
121	0.01718948098
122	0.01717121761
123	0.01715455145
124	0.01713755152
125	0.01712037248
126	0.01710112426
127	0.01708438989
128	0.01706675415
129	0.01704721208
130	0.01703350927
131	0.01701701968
132	0.01700306534
133	0.01698552007
134	0.01696643036
135	0.01694968262
136	0.01693502231
137	0.01691800943
138	0.01690329084
139	0.01688561071
140	0.01686947854
141	0.01685623328
142	0.01684253798
143	0.01682808772
144	0.01680908201
145	0.01679090693
146	0.01677188458
147	0.01675736176
148	0.01674053015
149	0.01672527168
150	0.01671233048
151	0.01670000069
152	0.01668484751
153	0.01667148092
154	0.01665678239
155	0.01664122218
156	0.01662327087
157	0.016608851
158	0.01659718896
159	0.01658600888
160	0.01657270237
161	0.01655855531
162	0.01654099224
163	0.0165258364
164	0.01651288585
165	0.01649916012
166	0.01648474116
167	0.01646933093
168	0.01645609645
169	0.01644601019
170	0.01643081415
171	0.01642013215
172	0.01640819295
173	0.01639416221
174	0.01637984075
175	0.01636735094
176	0.01635798365
177	0.01634755413
178	0.01633705469
179	0.01632235933
180	0.01631174332
181	0.0162972939
182	0.01628380028
183	0.01627303191
184	0.01626030111
